Symbol,Company,Industry
GEF,"Greif, Inc.",Containers & Packaging
GELGF,CHATHAM ROCK PHOSPHATE LTD,Metals & Mining
GEMIF,GEM INTL RESOURCES INC,Metals & Mining
GERFF,GLEN EAGLE RESOURCES INC,Metals & Mining
GETG,Green Earth Technologies Inc,Chemicals
GFGVF,Prosalutis Holdings Inc,Metals & Mining
GFI,Gold Fields Limited (ADR),Metals & Mining
GFKRF,OPUS ONE RESOURCES INC,Metals & Mining
GG,Goldcorp Inc. (USA),Metals & Mining
GGSM,Gold and GemStone Mining Inc,Metals & Mining
GGTHF,Golden Goliath Resources Ltd (USA),Metals & Mining
GILXF,GITENNES EXPLORATION INC,Metals & Mining
GLBKF,GOLDBANK MINING CORP,Metals & Mining
GLDMF,GOLDEN SH RES CORP COM,Metals & Mining
GLGDF,GOGOLD RESOURCES INC,Metals & Mining
GLGI,Greystone Logistics Inc,Chemicals
GLLK,Gold Lakes Corp,Metals & Mining
GLT,P H Glatfelter Co,Paper & Forest Products
GLTC,"GelTech Solutions, Inc.",Chemicals
GLVMF,GOLDEN VALLEY MINES LTD,Metals & Mining
GMNFF,GOBIMIN INC,Metals & Mining
GMO,"General Moly, Inc.",Metals & Mining
GMVI,Globalmin Ventures Inc,Metals & Mining
GMVMF,GMV MINERALS INC,Metals & Mining
GNMP,General Chemical Group,Chemicals
GNXP,Guinness Exploration Inc,Metals & Mining
GOLD,Randgold Resources Ltd. (ADR),Metals & Mining
GORO,Gold Resource Corporation,Metals & Mining
GPK,Graphic Packaging Holding Company,Containers & Packaging
GPL,Great Panther Silver Ltd,Metals & Mining
GPMTF,GPM METALS INC,Metals & Mining
GPXM,"Golden Phoenix Minerals, Inc.",Metals & Mining
GQMLF,GREAT QUEST FERTILIZER LTD,Metals & Mining
GRA,W. R. Grace & Co,Chemicals
GRGNF,GOLDEN REIGN RESOURCES LTD,Metals & Mining
GRMC,Goldrich Mining Co,Metals & Mining
GROG,GroGenesis Inc,Chemicals
GRYO,"Gryphon Resources, Inc.",Metals & Mining
GRZG,Grizzly Gold Corp,Metals & Mining
GSDC,GoldSands Development Co,Metals & Mining
GSM,Ferroglobe PLC,Metals & Mining
GSMGF,INDIANA RESOURCES LTD,Metals & Mining
GSS,Golden Star Resources Ltd. (USA),Metals & Mining
GSSRF,GOSSAN RESOURCES LTD,Metals & Mining
GSV,GOLD STANDARD VENTURES CORP,Metals & Mining
GTAGF,GOLDEN TAG RESOURCES LTD,Metals & Mining
GTARF,GTA RESOURCES AND MINING INC,Metals & Mining
GTCDF,GETTY COPPER INC,Metals & Mining
GURE,"Gulf Resources, Inc.",Chemicals
GVCM,Geovic Mining Corp.,Metals & Mining
GWRRF,ENGOLD MINES LTD,Metals & Mining
GWSAF,GOWEST GOLD LTD,Metals & Mining
GXMLF,INTERCONTNTL GOLD & MTL LTD,Metals & Mining
GXSFF,GOLDSOURCE MINES INC,Metals & Mining
GYPHQ,Gryphon Gold Corp,Metals & Mining
GYST,Graystone Company Inc,Metals & Mining
HAYN,"Haynes International, Inc.",Metals & Mining
HBM,HUDBAY MINERALS INC,Metals & Mining
HCC,Warrior Met Coal Inc,Metals & Mining
HCGS,HighCom Global Security Inc,Chemicals
HCMLY,Lafargeholcim Ltd (ADR),Construction Materials
HCTI,Hybrid Coating Technologies Inc,Chemicals
HDRSF,HIGHLAND COPPER COMPANY INC,Metals & Mining
HL,Hecla Mining Company,Metals & Mining
HL-B,Hecla Mining Co,Metals & Mining
HLKMF,FRONTIER LITHIUM,Metals & Mining
HMXZF,HUNT MINING CORP,Metals & Mining
HMY,Harmony Gold Mining Co. (ADR),Metals & Mining
HNDI,Handeni Gold Inc,Metals & Mining
HNLMF,HINTERLAND METALS INC,Metals & Mining
HNTM,HuntMountain Resources. Ltd.,Metals & Mining
HPYCF,HAPPY CREEK MINERALS LTD,Metals & Mining
HRTFF,HARTE GOLD CORP,Metals & Mining
HSHL,Home Solutions Health Inc,Metals & Mining
HTPRF,HTC PURENERGY INC,Chemicals
HTRRF,HEATHERDALE RESOURCES LTD,Metals & Mining
HUMT,"Humatech, Inc.",Chemicals
HUN,Huntsman Corporation,Chemicals
HVGDF,HARVEST GOLD CORP,Metals & Mining
HWKDF,HAWKEYE GOLD & DIAMOND INC,Metals & Mining
HWKN,"Hawkins, Inc.",Chemicals
HYCT,Hycroft Mining Corp,Metals & Mining
HYDI,"Hydromer, Inc.",Chemicals
HYII,All Grade Mining Inc,Metals & Mining
HZNM,Horizon Minerals Corp,Metals & Mining
IAG,IAMGOLD Corp (USA),Metals & Mining
IDND,International Dispensing Corporation,Containers & Packaging
IEAM,"Industrial Enterprises of America, Inc.",Chemicals
IEGCF,INDEPENDENCE GOLD CORP,Metals & Mining
IFAM,Infrastructure Materials Corp,Metals & Mining
IFF,International Flavors & Fragrances Inc,Chemicals
IFSPF,INTERFOR CORP,Paper & Forest Products
IFUE,Fuel Performance Solutions Inc,Chemicals
IGNE,"IGENE Biotechnology, Inc.",Chemicals
IKNX,IKONICS Corporation,Chemicals
ILHMF,INTERNATIONAL LITHIUM CORP,Metals & Mining
ILNLF,INV METALS INC,Metals & Mining
ILST,International Star Inc,Metals & Mining
IMAHF,I-MINERALS INC,Metals & Mining
IMII,Inception Mining Inc,Metals & Mining
IMTFF,INTL MONTORO RESOURCES INC,Metals & Mining
INCKF,REVELO RESOURCES CORP,Metals & Mining
IOSP,Innospec Inc.,Chemicals
IP,International Paper Co,Containers & Packaging
IPHS,"Innophos Holdings, Inc.",Chemicals
IPI,"Intrepid Potash, Inc.",Chemicals
IRLD,Ireland Inc,Metals & Mining
IROG,Ironwood Gold Corp,Metals & Mining
ITEC,Intertech Solutions Inc,Metals & Mining
ITKG,"Integral Technologies, Inc.",Chemicals
ITRO,Itronics Inc.,Chemicals
IVAP,Prospect Ventures Inc,Metals & Mining
JAGGF,Jaguar Mining Inc (USA),Metals & Mining
JAGMF,J A G MINES LTD,Metals & Mining
JAMGF,JASPER MINING CORP,Metals & Mining
JHX,James Hardie Industries plc (ADR),Construction Materials
KALU,Kaiser Aluminum Corp.,Metals & Mining
KATX,Kat Exploration Inc,Metals & Mining
KBGCF,KING'S BAY RESOURCES CORP,Metals & Mining
KBLB,Kraig Biocraft Laboratories Inc,Chemicals
KBSTY,"Kobe Steel, Ltd. (ADR)",Metals & Mining
KDIAF,KENNADY DIAMONDS INC,Metals & Mining
KDKGF,KLONDIKE GOLD CORP,Metals & Mining
KGC,Kinross Gold Corporation (USA),Metals & Mining
KGHZF,PANGOLIN DIAMONDS CORP,Metals & Mining
KLBAY,Klabin SA (ADR),Containers & Packaging
KLDX,KLONDEX MNS LTD COM,Metals & Mining
KLSVF,KLONDIKE SILVER CORP,Metals & Mining
KMG,"KMG Chemicals, Inc.",Chemicals
KOOYF,KOOTENAY SILVER INC,Metals & Mining
KOP,Koppers Holdings Inc.,Chemicals
KRA,Kraton Corp,Chemicals
KRLTF,KARNALYTE RESOURCES INC,Chemicals
KRMEF,KARMIN EXPLORATION INC,Metals & Mining
KRO,"Kronos Worldwide, Inc.",Chemicals
KS,KapStone Paper and Packaging Corp.,Paper & Forest Products
KWGBF,KWG Resources Inc,Metals & Mining
KWR,Quaker Chemical Corp,Chemicals
KXPLF,BAYHORSE SILVER INC,Metals & Mining
LBSR,Liberty Star Uranium & Metals Corp.,Metals & Mining
LEXG,Lithium Exploration Group Inc,Metals & Mining
LGDOF,Lund Enterprises Corp,Metals & Mining
LGDRF,SANDY LAKE GOLD INC,Metals & Mining
LGREF,LOGAN RESOURCES LTD,Metals & Mining
LKAI,LKA Gold Inc,Metals & Mining
LNCLF,LINCOLN MINING CORP,Metals & Mining
LNZCF,SAMA RESOURCES INC,Metals & Mining
LODE,Comstock Mining Inc,Metals & Mining
LOOP,Loop Industries Inc,Chemicals
LPKGF,LUPAKA GOLD CORP,Metals & Mining
LPX,Louisiana-Pacific Corporation,Paper & Forest Products
LQMT,Liquidmetal Technologies Inc,Metals & Mining
LRAXF,LARA EXPLORATION LTD,Metals & Mining
LRCPF,LORRAINE COPPER CORP,Metals & Mining
LRDR,Laredo Resources Corp,Metals & Mining
LRTNF,PURE GOLD MINING INC,Metals & Mining
LRZZF,ICON EXPLORATION INC,Metals & Mining
LSANF,LOS ANDES COPPER LTD,Metals & Mining
LSGEF,STARR PEAK EXPL LTD COM,Metals & Mining
LSTG,Lone Star Gold Inc,Metals & Mining
LTHIF,INZINC MINING LTD,Metals & Mining
LTUM,Lithium Corporation.,Metals & Mining
LUNMF,Lundin Mining Corporation (USA),Metals & Mining
LWLCF,EQUINOX GOLD CORP,Metals & Mining
LWLG,"Lightwave Logic, Inc.",Chemicals
LXU,"LSB Industries, Inc.",Chemicals
LYB,LyondellBasell Industries NV,Chemicals
MACIF,MAVERIX METALS INC,Metals & Mining
MACQF,THEMAC RESOURCES GROUP LTD,Metals & Mining
MAG,MAG Silver Corp (USA),Metals & Mining
MBII,Marrone Bio Innovations Inc,Chemicals
MBYMF,MOUNTAIN BOY MINERALS LTD,Metals & Mining
MCEM,Monarch Cement Co,Construction Materials
MDNNF,NIOBAY METALS INC,Metals & Mining
MDSMF,MEDUSA MINING LTD,Metals & Mining
MEOH,Methanex Corporation (USA),Chemicals
MERC,Mercer International Inc.,Paper & Forest Products
METC,Ramaco Resources Inc,Metals & Mining
MFMLF,MARIFIL MINES LTD,Metals & Mining
MGDPF,MARATHON GOLD CORP,Metals & Mining
MGNU,Magnus International Resources Inc.,Metals & Mining
MIDLF,MIDLAND EXPLORATION INC,Metals & Mining
MIMZF,NIGHTHAWK GOLD CORP,Metals & Mining
MKRO,Monkey Rock Group Inc,Metals & Mining
