Symbol,Company,Industry
PW,Power REIT,Equity Real Estate Investment Trusts (REITs)
PW-A,Power REIT,Equity Real Estate Investment Trusts (REITs)
QCP,Quality Care Properties Inc,Equity Real Estate Investment Trusts (REITs)
QTS,QTS Realty Trust Inc,Equity Real Estate Investment Trusts (REITs)
QTS-A,QTS Realty Trust Inc,Equity Real Estate Investment Trusts (REITs)
RAS,RAIT Financial Trust,Equity Real Estate Investment Trusts (REITs)
RAS-A,RAIT Financial Trust,Equity Real Estate Investment Trusts (REITs)
RAS-B,RAIT Financial Trust,Equity Real Estate Investment Trusts (REITs)
RAS-C,RAIT Financial Trust,Equity Real Estate Investment Trusts (REITs)
RBIZ,RealBiz Media Group Inc,Real Estate Management & Development
REG,Regency Centers Corp,Equity Real Estate Investment Trusts (REITs)
RESI,Front Yard Residential Corp,Equity Real Estate Investment Trusts (REITs)
REXR,Rexford Industrial Realty Inc,Equity Real Estate Investment Trusts (REITs)
REXR-A,Rexford Industrial Realty Inc,Equity Real Estate Investment Trusts (REITs)
RHP,Ryman Hospitality Properties Inc,Equity Real Estate Investment Trusts (REITs)
RLGY,Realogy Holdings Corp,Real Estate Management & Development
RLJ,RLJ Lodging Trust,Equity Real Estate Investment Trusts (REITs)
RLJ-A,RLJ Lodging Trust,Equity Real Estate Investment Trusts (REITs)
RMAX,Re/Max Holdings Inc,Real Estate Management & Development
RMR,RMR Group Inc,Real Estate Management & Development
ROIC,Retail Opportunity Investments Corp,Equity Real Estate Investment Trusts (REITs)
RPAI,Retail Properties of America Inc,Equity Real Estate Investment Trusts (REITs)
RPT,Ramco-Gershenson Properties Trust,Equity Real Estate Investment Trusts (REITs)
RPT-D,Ramco-Gershenson Properties Trust,Equity Real Estate Investment Trusts (REITs)
RSRT,Realsource Residential Inc,Real Estate Management & Development
RVEN,Reven Housing Reit Inc,Equity Real Estate Investment Trusts (REITs)
RYN,Rayonier Inc.,Equity Real Estate Investment Trusts (REITs)
SBAC,SBA Communications Corporation,Equity Real Estate Investment Trusts (REITs)
SBRA,Sabra Health Care REIT Inc,Equity Real Estate Investment Trusts (REITs)
SELF,Global Self Storage Inc,Equity Real Estate Investment Trusts (REITs)
SHO,Sunstone Hotel Investors Inc,Equity Real Estate Investment Trusts (REITs)
SHO-E,Sunstone Hotel Investors Inc,Equity Real Estate Investment Trusts (REITs)
