Symbol,Company,Industry
CUBI-F,Customers Bancorp Inc,Banks
CUII,China United Insurance Service Inc,Insurance
CULL,Cullman Bancorp Inc,Banks
CVBF,CVB Financial Corp.,Banks
CVCY,Central Valley Community Bancorp,Banks
CVHL,CV Holdings Inc,Mortgage Real Estate Investment Trusts (REITs)
CVLY,"Codorus Valley Bancorp, Inc.",Banks
CVTGF,CLAIRVEST GROUP INC,Capital Markets
CWAY,Coastway Bancorp Inc,Thrifts & Mortgage Finance
CWBC,Community West Bancshares,Banks
CXSNF,Street Capital Group Inc,Thrifts & Mortgage Finance
CYFL,Century Financial Corp PA,Banks
CYS,CYS Investments Inc,Mortgage Real Estate Investment Trusts (REITs)
CYS-A,CYS Investments Inc,Mortgage Real Estate Investment Trusts (REITs)
CYS-B,CYS Investments Inc,Mortgage Real Estate Investment Trusts (REITs)
CZBS,Citizens Bancshares Corporation (GA),Banks
CZBT,Citizens Bancorp of Virginia Inc,Banks
CZFC,Citizens First Corp.,Banks
CZFS,Citizens Financial Services Inc,Banks
CZNC,Citizens & Northern Corporation,Banks
CZWI,Citizens Community Bancorp Inc.,Thrifts & Mortgage Finance
DB,Deutsche Bank AG (USA),Capital Markets
DBIN,Dacotah Bank Holding Co.,Banks
DCOM,"Dime Community Bancshares, Inc.",Thrifts & Mortgage Finance
DFIN,Donnelley Financial Solutions Inc,Capital Markets
DFS,Discover Financial Services,Consumer Finance
DGICA,Donegal Group Inc.,Insurance
DHCP,Ditech Holding Corp,Thrifts & Mortgage Finance
DHIL,"Diamond Hill Investment Group, Inc.",Capital Markets
DIGAF,Digatrade Financial Corp,Capital Markets
DIMC,Dimeco Inc,Banks
DLNO,Delanco Bancorp Inc,Banks
DMCD,Detwiler Fenton Group Inc,Diversified Financial Services
DMKBA,Denmark Bancshares Inc,Banks
DNBF,DNB Financial Corp,Banks
DVLN,"DVL, Inc.",Thrifts & Mortgage Finance
DX,Dynex Capital Inc,Mortgage Real Estate Investment Trusts (REITs)
DX-A,Dynex Capital Inc,Mortgage Real Estate Investment Trusts (REITs)
DX-B,Dynex Capital Inc,Mortgage Real Estate Investment Trusts (REITs)
EACC,"Eautoclaims, Inc.",Insurance
EARN,Ellington Residential Mortgage REIT,Mortgage Real Estate Investment Trusts (REITs)
EBMT,Eagle Bancorp Montana Inc,Banks
EBSB,Meridian Bancorp Inc,Thrifts & Mortgage Finance
EBTC,"Enterprise Bancorp, Inc",Banks
ECGP,Fortel Inc,Capital Markets
ECPG,"Encore Capital Group, Inc.",Consumer Finance
ECRO,ECC Capital Corporation,Mortgage Real Estate Investment Trusts (REITs)
EFC,Ellington Financial LLC,Capital Markets
EFSC,Enterprise Financial Services Corp,Banks
EFSI,Eagle Financial Services Inc,Banks
EGBN,"Eagle Bancorp, Inc.",Banks
EGDW,Edgewater Bancorp Inc,Thrifts & Mortgage Finance
EGFHF,ECHELON FINANCIAL HLDGS INC,Insurance
EHTH,"eHealth, Inc.",Insurance
EIG,"Employers Holdings, Inc.",Insurance
ELCI,Eastern Light Capital Inc,Mortgage Real Estate Investment Trusts (REITs)
ELEEF,ELEMENT FLEET MANAGEMENT CP,Diversified Financial Services
ELRNF,Elron Electronic Industries Ltd (USA),Diversified Financial Services
ELVT,Elevate Credit Inc,Consumer Finance
EMCF,Emclaire Financial Corp,Banks
EMCI,EMC Insurance Group Inc.,Insurance
EMGC,Emergent Capital Inc,Consumer Finance
EMYB,"Embassy Bancorp, Inc.",Banks
ENBP,ENB Financial Corp.,Banks
ENFC,Entegra Financial Corp,Thrifts & Mortgage Finance
ENVA,Enova International Inc,Consumer Finance
EPOR,EPIC Corp,Diversified Financial Services
EQBK,Equity BancShares Inc,Banks
EQFN,Equitable Financial Corp.,Thrifts & Mortgage Finance
EQS,"Equus Total Return, Inc.",Capital Markets
ERIE,Erie Indemnity Company,Insurance
ESBK,Elmira Savings Bank,Thrifts & Mortgage Finance
ESGR,Enstar Group Ltd.,Insurance
ESNT,Essent Group Ltd,Thrifts & Mortgage Finance
ESQ,Esquire Financial Holdings Inc,Banks
ESSA,"ESSA Bancorp, Inc.",Thrifts & Mortgage Finance
ESXB,Community Bankers Trust Corp,Banks
ETFC,E*TRADE Financial Corp,Capital Markets
EV,Eaton Vance Corp,Capital Markets
EVBN,Evans Bancorp Inc.,Banks
EVR,Evercore Inc,Capital Markets
EWBC,"East West Bancorp, Inc.",Banks
EZPW,EZCORP Inc,Consumer Finance
FABK,First Advantage Bancorp,Banks
FAC,First Acceptance Corporation,Insurance
FAF,First American Financial Corp,Insurance
FAHLF,First Asia Holdings Ltd,Thrifts & Mortgage Finance
FANH,Fanhua Inc (ADR),Insurance
FBAK,First National Bank Alaska,Banks
FBC,Flagstar Bancorp Inc,Thrifts & Mortgage Finance
FBIZ,First Business Financial Services Inc,Banks
FBK,FB Financial Corp,Banks
FBMS,First Bancshares Inc,Banks
FBNC,First Bancorp,Banks
FBNK,First Connecticut Bancorp Inc,Banks
FBP,First Bancorp,Banks
FBPI,"First Bancorp of Indiana, Inc.",Banks
FBSI,"The First Bancshares, Inc.",Thrifts & Mortgage Finance
FBSS,"Fauquier Bankshares, Inc.",Banks
FCAP,"First Capital, Inc.",Thrifts & Mortgage Finance
FCB,FCB Financial Holdings Inc,Banks
FCBC,First Community Bancshares Inc,Banks
FCBI,Frederick County Bancorp (MD),Banks
FCCG,Fog Cutter Capital Group Inc.,Capital Markets
FCCO,First Community Corporation,Banks
FCCY,1st Constitution Bancorp,Banks
